title,neighborhood,price,url,description
Piso  Carrer del pare manyanet. Finca joven con vistas panorámicas en excelente zona.,Barcelona - Sant Andreu,461.000 €,https://www.habitaclia.com/comprar-piso-finca_joven_con_vistas_panoramicas_en_excelente_zona_sant_andreu-barcelona-i32937000000105.htm?f=&from=list&lo=55,"Inmueble exclusivo en Barcelona, en el barrio carismático de Sant Andreu, la parte norte de Barcelona, y sur de Sant And..."
Piso  Carrer gran de sant andreu. En la calle gran de sant andreu,Barcelona - Sant Andreu,240.000 €,https://www.habitaclia.com/comprar-piso-en_la_calle_gran_de_sant_andreu_sant_andreu-barcelona-i3118004332711.htm?f=&from=list&lo=55,"724,91€* Cuota mensual hipoteca fija. Vivienda en muy buen estado general, 74 m2., distribuidos en: amplio salón comedo..."
Piso  Avinguda meridiana. Piso con 3 habitaciones con ascensor y aire acondicionado,Barcelona - Sant Andreu,210.000 €,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_y_aire_acondicionado_sant_andreu-barcelona-i4553004323351.htm?f=&from=list&lo=55,"Espectacular piso en venta para entrar a vivir.  Piso exterior de 64 M² en el barrio de Sant Andreu, tercera planta re..."
Piso  Passeig de santa coloma,Barcelona - Sant Andreu,295.000 €,https://www.habitaclia.com/comprar-piso-sant_andreu-barcelona-i4027004298169.htm?f=&from=list&lo=55,"Dolça Llar presenta excelente obra semi-nueva del año 2008 en Sant Andreu ,  Encontraremos amplio salón comedor todo ex..."
"CORTIT, 10",Barcelona - La Sagrera,390.000 €,https://www.habitaclia.com/obra_nueva-viviendas-en-barcelona/promo_36459004101629?from=list&lo=56,"Edificio viviendas  en Barcelona, Edificio viviendas La Sagrera Barcelona de 104 m 2  por 390.000 €..."
"Piso  Liuva. Piso de 2 dormitorios, con balcón y ascensor",Barcelona - Sant Andreu,189.000 €,https://www.habitaclia.com/comprar-piso-de_2_dormitorios_con_balcon_y_ascensor_sant_andreu-barcelona-i8219002911559.htm?pag=1&f=&from=list&lo=55,"Coqueto piso de 2 dormitorios distribuidos de la siguiente manera
 
 Recibidor de bienvenida 
 
 Cocina Independiente´..."
Piso  en  Carrer de castellbell 7. Plaça de les palmeres,Barcelona - Sant Andreu,199.500 €,https://www.habitaclia.com/comprar-piso-placa_de_les_palmeres_calle_de_castellbell_7_sant_andreu-barcelona-i10024004256918.htm?pag=1&f=&from=list&lo=55,"Pis situat al costat de la Plaça de les Palmeres.  Molt tranquil i molt ben comunicat, al centre del barri de Sant Andr..."
Piso  Carrer de rubén darío. Piso con 4 habitaciones con ascensor y aire acondicionado,Barcelona - Sant Andreu,289.000 €,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_y_aire_acondicionado_sant_andreu-barcelona-i4553004323341.htm?pag=1&f=&from=list&lo=55,Piso en venta tocando el mercat de Sant Andreu. El inmueble es un entresuelo exterior de 80 M² distribuidos en amplio r...
"Piso  en  Sant Andreu. Piso con 2 habitaciones con ascensor, calefacción y aire acondic",Barcelona - Sant Andreu,235.000 €,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_calefaccion_y_aire_acondic_sant_andreu-barcelona-i4553004323337.htm?pag=1&f=&from=list&lo=55,"Piso en venta Zona Sant Andreu.  Salón-comedor amplio, cocina con lavadero, baño completo, 2 dormitorios y 1 estudio...."
Ático  Carrer de bartrina. Ático con 3 habitaciones con ascensor,Barcelona - Sant Andreu,215.000 €,https://www.habitaclia.com/comprar-atico-con_3_habitaciones_con_ascensor_sant_andreu-barcelona-i4553004323338.htm?pag=1&f=&from=list&lo=55,"75m² útiles con excelente distribución sin pasillos, consta de salón-comedor amplio, 3 habitaciones ( 1 de ellas doble),..."
